,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,target
0,0.065532191,0.713271204,0.386261801,1.003211048,0.55231751,0.178099421,3.35657033,0.957061098,0.13415669,0.831315604,0.429490012,0.281296202,3
0,0.037178976,0.228856609,0.263038838,0.136531424,0.070936765,0.261154316,2.4442039,0.100707286,0.187914084,0.105576705,0.161545013,0.255597671,3
0,0.037523702,0.041410147,0.245536946,0.21449189,0.034389096,0.120654741,0.162243393,0.017620162,0,0.135898946,1.405866419,0.953278442,3
0,0.455869772,1.388048265,0.713336664,0.679079797,0.434168423,0.576880072,0.31108563,0.18675227,0.162860251,0.177157698,0.030766899,0.129505699,3
0,0.018541694,0.073594681,0.097907745,0.015896426,0.05065961,0.044956763,1.224373217,0.122809231,0.064475678,0.037219796,0.037176263,0.010769914,3
0,1.367129305,0.176846966,0.25844357,0.077261128,0.259950234,0.216786546,0.700561091,0.233613885,0.278913466,0.073854798,0.018370787,0.120193582,3
0,0.278431354,0.299923911,0.080636991,0.186589878,0.040685967,0.222669082,0.577664471,0.256635602,0.24138403,0.175586725,0.153988501,0.331747,3
0,0.371186738,0.209794631,0.282153768,0.522482752,0.45314019,0.294809999,0.516897901,0.223692284,0.136508461,0.712606066,0.130253014,0.223248514,3
0,0.138704096,0.432079226,0.333785058,0.443168129,0.108367673,1.023467991,0.291540835,0.054025515,0.118606145,0.344064643,0.333568177,0.105150513,3
0,0.510626021,0.260279767,0.106172864,0.03582074,0.101816861,0.368995861,0.155415363,0.291562887,0.135371913,0.132533588,0.084782961,0.36714328,3
0,0.688378915,0.167370722,0.378666221,0.41929392,0.484239204,0.167601105,1.513967567,0.04213962,0.191737398,0.41975291,0.307149014,0.470441741,3
0,0.133090232,0.061953166,1.013941433,0.04204955,0.751116088,0.381974477,0.143673572,0.254408346,0.017794232,0.09342452,0.083524616,0.111747941,3
0,0.15391334,0.152906798,0.167298303,0.132788388,0.309984693,0.154505398,0.254334654,0.07917592,0.061275481,0.069628556,0.162381142,0.179361625,3
0,0,0.403083525,0.137743468,0.151533201,0.337268721,0.96738645,0.432582633,0.111452844,0.104366069,0.10817983,0.105771855,0.824555874,3
0,0.141621213,0.223572389,0.196311223,0.242060605,0.301752848,0.148343246,0.547760635,0.380019611,0.312027283,0.292388039,0.14886491,0.184583368,3
0,0.173425496,0.019015581,0.140633662,0.17841546,0.087535612,0.05482473,0.155115719,0.087221284,0.141473682,0.088959317,0.082378731,0.076185938,3
0,0.505660573,0.068999579,0.087250742,0.078813715,0.315789476,0.06618319,0.155555519,0.497260472,0.054776636,0.051356809,0.072816667,0.468264049,3
0,0.014618904,0.498131707,0.017422659,0.004948806,0.001841487,0.167074119,0.627993925,0.176746521,0.140252052,0.42942665,0.300463987,0.198641742,3
0,0.027449944,0.110525563,0.291557488,0.057841165,0.904187941,0.309046397,0.153935982,0.06541623,0.021972805,0.05294675,0.114053231,0.029451888,3
0,0.063286712,0.122960951,0.298699705,0.067097444,0.584666321,0.16923065,0.575363913,0.236818905,0.276617409,0.154938835,0.131826065,0.112582217,3
0,0.039146858,0.154062198,0.090466281,0.034702597,0.027583836,0.124345191,0.189560302,0.079947988,0.075814129,0.0819695,0.245235095,0.461000668,3
0,0.004835653,0.009194075,0.049689514,0,0.058226829,0.030576878,0.542425099,0.427555529,0.313730704,0.159732259,0.117812411,0.040374512,3
0,1.611236921,0.068488238,0.098815373,0,0.181740065,0.079865521,1.481339698,0.178000861,0.033042385,0.041143418,0.217795066,0.1153593,3
0,0.042107634,0.141356564,0.300004228,0.072590294,0.603626761,0.201679314,1.10786147,0.413239203,0.140762119,0.186087705,0.152046839,0.127061529,3
0,0.14064127,0.22806516,0.28589442,0.153249638,0.374368308,0.238397069,0.252733705,0.365452363,0.109745934,0.017292816,0.089913163,0.163796698,3
0,1.993077635,0.017959262,0.057761224,0.040377051,0.093120363,0.02259031,0.289184874,0.349888666,0.07865141,0.05058332,0.036105612,0.058747664,3
0,0.390446722,0.152000197,0.427586937,0.198404576,0.513533419,0.296051834,0.492884124,0.407533853,0.601343522,0.619674453,0.580239914,0.572306846,3
0,0.179744431,0.326595639,0.237868535,0.230841463,0.4355265,0.356784659,0.163704119,1.235080338,1.128225836,0.054231069,0.140637545,0.028044534,3
0,0.104756112,0.120386385,0.214139562,0.089611956,0.25164314,0.11599674,0.138663267,0.047872472,0.015548841,0.003749518,0.053353714,0.224120263,3
0,0.203539019,0.34924045,0.65798514,0.215016805,1.169871688,0.523158986,0.168964662,0.646960581,0.651233343,0.43724394,0.113897759,0.877604683,3
0,0.47170949,0.23768861,0.234341335,0.130571141,0.186807733,0.217175645,1.273782277,0.061243231,0.131750471,0.180728073,0.112874616,0.167314116,3
0,0.071945194,0.066637807,0.22349891,0.022468831,1.323100988,0.118269371,0.124434279,0.013522037,0,0.071809915,0,0.129862736,3
0,0.394771391,0.046523165,0.21070323,0.059018307,0.584407398,0.077105649,0.366988072,0,0.20872661,0.008517599,0.046799956,0.018009741,3
0,0.061655431,0.187765107,0.732023619,0.121134336,0.181076807,1.319715271,0.333829796,0.136159823,0.112747239,0.075796488,0.117659782,0.16674159,3
0,0.0301908,1.39431722,0.10985183,0.015479277,0.051127545,1.238423781,0.165083746,0.570493404,0.71607156,1.587952498,1.252068694,0.02667444,3
0,0.04188467,0.30133044,0.949890968,0.058938299,0.041524882,0.462871378,0.121121856,1.051356674,0.14963851,0.284830971,0.353605488,0.506336968,3
0,0.12442632,1.440393698,1.484761245,0.278775138,1.017805365,1.565480811,0.365392301,0.151232137,0.144671414,0.195298431,0.269481282,0.108275949,3
0,0.024481485,0.182418333,0.206192514,0.086601289,0.122733409,0.193357095,0.981035074,0.261312476,0.076691121,0.056393299,0.070673029,0.05708579,3
0,0.142378665,0.144077793,0.357972379,0.144907309,0.260562895,0.116653551,0.123478021,0.226380185,0.1918944,0.159522398,0.983299147,0.17741981,3
0,0.14244376,0.135830489,0.194646849,0.252523194,0.19576677,0.056177923,0.81600062,0.191059811,0.342882761,0.080661115,0.112045908,0.179937878,3
0,0.543430716,0.252397807,0.587703275,0.286625458,0.101891793,0.274020656,0.148119383,1.472131683,0.464717679,0.015018567,0,0.050862045,3
0,0.777103068,0.240476772,0.39489654,0.758815853,1.075635309,0.202469119,0.339270184,1.048065257,0.636948118,0.269331145,1.265945096,1.268821772,3
0,0.033733076,0.103723312,0.096875422,0.101719535,0.015896131,0.123117119,0.444727362,1.192309756,0.605172869,0.34702872,0,0.161172272,3
0,0.032471967,0.124456652,0.441467986,0.081226698,0.165907621,0.18771597,0.109038726,0.711299033,0.325466186,0.243517583,0.378753562,0.195010663,3
0,0.436217024,0.245430097,0.221830949,0.386476666,0.943047743,0.135792965,0.401118707,0.184065132,0.326453054,0.299260055,0.22442271,0.395965898,3
0,1.475370487,0.150916215,1.515454972,0.872778815,1.671140233,0.1484974,0.195082468,0,0.116970941,0.120911221,0.031010018,0.039977346,3
0,0.630964639,0.46032109,0.210962747,0.341292368,0.535166706,0.253229991,0.808675,0.584452162,0.217506558,0.121452565,0.237504011,0.279510903,3
0,0.555881201,0.829781676,0.938786195,0.485878897,2.112087549,1.133133888,0.517348497,1.147955643,1.153008078,0.190963469,0.145351777,0.066656835,3
0,0.036940404,0.158307769,1.085549992,0.019361357,0.138053194,0.276522442,0.882823837,0.969464928,0.140662218,1.109344107,0.242395485,0.622905739,3
0,0.079779457,0.057585182,0.115635216,0.096488169,0.068269721,0.03180288,0.298251239,0.049991485,0.018290358,0.055583936,0.510969789,0.060747933,3
0,0.032329677,0.217515206,0.620166125,0.049136947,0.116679602,0.356530409,0.43286667,0.307604872,0.276124201,0.421437811,0.19374891,0.341688153,1
0,0.645850485,0.048337247,0.677884573,0.298950352,0.364675468,0.078158539,0.656889976,0.063666433,0,0.052831895,0.104049404,0.111713037,1
0,0.031685024,1.712848529,0.271046705,0.060781725,0.029746978,0.899948004,0.476414739,0,0.363055422,0.257720097,0.017790839,0.073313787,1
0,0.085943332,0.166926617,0.175969773,0.164390605,0.421878154,0.169199158,0.3905262,0.291210278,0.290531509,0.780760465,0.53580212,0.375851692,1
0,1.950335425,2.637668246,0.021377544,2.885000106,0.451588338,1.969500406,0.02936994,0.856140842,1.611036812,2.822801214,2.441216336,2.21865333,1
0,0.521140855,0.240372304,0.26136416,0.295483525,0.333013168,0.536733328,0.213132159,0.236548476,0.441584162,0.108551417,0.133305964,0.293653518,1
0,0.014267006,0.060644837,0.085796158,0.141649968,0.770447065,0.081441274,0.092093395,0.387652331,0.051118383,0.039839545,0.006832566,0.08615971,1
0,0.694321651,0.186508359,0.478188753,0.096245321,0.161803519,0.34229239,0.263939177,0.166370263,0.155214219,0.025718958,0.042274042,0.068092036,1
0,0.27975308,0.200205826,0.279959153,0.156717971,1.823317109,0.307698454,0.141421631,0.578297541,0,0.051489025,0.208904782,0.526703982,1
0,0,0,0.901660951,0,0,0.059220356,0.083169396,0.515426729,0.827362661,0.324162588,0.148752784,0.077636913,1
0,0.131414768,0.280041912,0.162384004,0.195671001,0.187820678,0.578436634,0.235545547,0.532463959,0.084663994,0.45080139,0.062519221,0.193228945,1
0,0.122056382,0.544295307,0.584189672,0.156863368,0.281470735,0.463720954,0.181534035,0.509216547,0.187398238,0.417601865,0.39738841,0.223135941,1
0,0.173292328,0.348024759,0.371083968,0.380019542,0.187692001,0.362521739,0.212020207,0.142715271,0.203833641,0.25725506,0.009328525,0.078534412,1
0,0,0.135344182,0.14647836,0.051343748,0.046157144,0.376368365,0.545384606,0.048835892,0.044856231,0.091468835,0.142431846,0.128354376,1
0,0.043234192,0.030020488,0.151441948,0.026075643,0.492798757,0.080161041,0.061155629,0.374450942,0.091037759,0.25149863,0.037801469,0.107771643,1
0,0.20522039,0.196900639,0.264424689,0.279403864,1.322296026,0.165256379,0.095250588,1.81557638,0.181210171,0.492603207,0.105620344,0.402710169,1
0,0.29957911,0.264276458,2.16362238,1.159589367,1.272283674,2.440255136,2.196517429,0.272717641,0.032192947,0.067540452,1.800669761,0.178940984,1
0,0.400747119,0.301304791,0.201298045,0.348041214,0.545048061,0.307606553,0.768547348,0.48335938,0.239558047,0.147687802,0.150009826,0.134608904,1
0,0.09466976,0.210840557,0.26285078,0.1693282,0.994545063,0.180701749,0.561775966,0.051738299,0.101310014,0.10088202,0.090953827,0.333101833,1
0,0.272869893,0.366119597,0.861850331,0.276863548,0.599281145,0.649276155,0.848885362,0.446106445,0.426833318,0.391675261,0.287042998,0.260507277,1
0,0.277743655,0.082306449,0.163659979,0.128318362,0.682800403,0.15157271,0.745937568,0.506225959,0.266676415,0.082967692,0.051162502,0.200080995,1
0,0.22873298,0.146671633,0.96045779,0.030583528,0.156183685,0.091746049,0.050755073,0.101763131,1.182946824,1.115706865,0.024873991,0.137854623,1
0,0.140376401,0.995773729,0.159117999,0.541406646,0.238838929,0.466251312,0.414837869,0.230251761,0.411240261,0.63521909,2.645543177,0.175732134,1
0,0.087417125,1.137835142,1.335570776,1.193553665,0.069645352,0.434956894,1.076320354,0.881489523,0.860025132,0.60127166,1.173946423,0.129708034,1
0,0.083643934,0.624271822,0.693721175,0.350572062,0.119675783,0.772376401,0.120143195,0.077553729,0.203615716,0.212937944,0.137410066,0.216144133,1
0,0.229104471,0.28854645,0.302488857,0.267401855,0.400259188,0.511008609,1.127620773,2.431568223,0.213459074,0.085633174,0.043852515,0.068490969,1
0,0.134512587,0.598434612,0.198296895,0.142195416,0.07582707,0.174095427,0,0,0,0,0,0,1
0,0.275410914,0.143605809,0.128899872,0.115537967,0.222770146,0.086072184,0.11863551,0.125263194,0.105879966,0.151888282,0.153870656,0.121910412,1
0,0.05627078,0.073630652,0.473184948,0.046094381,0.127840208,0.111228839,0.336942235,0.684750389,0.238839357,0.320006674,0.036788594,0.052825987,1
0,0.243401851,0.1271275,0.134269717,0.142756269,0.077059914,0.124967426,0.283277722,1.066923572,0.419917497,0.094863335,0.036386801,0.034487932,1
0,0.424133281,0.502044754,0.105293402,0.454547792,0.269920132,0.125876749,0.887593519,0.280938593,0.12215075,0.104861808,0.107354708,0.082703199,1
0,0.028597102,0.120744347,0.343398872,0.056076279,0.083451334,0.457767665,0.123099504,0.321164015,0.017529175,0.084716434,0.054975711,0.120471485,1
0,0.010749079,0.219157093,1.108225276,0.087615911,0.246865251,0.083934152,0.163899726,0.141175916,0.24532276,0.13759128,0.234744981,0.267146867,1
0,0.057432418,0.029557426,0.174795943,0.012184135,0.089348353,0.059327499,0.09317577,1.494773129,0.171874624,0.116565772,0.016829313,1.346483115,1
0,0.215601823,0.126913488,0.023502572,0.189709858,0.160119687,0.082119084,0.537353816,0.591650952,0.828501149,0.706764202,0.113944348,0.223458478,1
0,0.219244139,0.134158917,0.288845153,0.222318161,0.211297153,0.279145869,1.491191393,0.541788523,0.925429564,0.528599464,0.805950285,0.325407079,1
0,0.068641994,0.33329834,0.154907707,0.060844554,0.033463451,0.236651292,0.524851635,0.368757491,0.227611018,0.50933729,0.278296107,0.203292609,1
0,0.348292052,0.405105021,1.174731172,0.44866472,0.779542031,0.674663552,0.638625667,0.865305078,0.80259725,0.344252564,0.189277085,0.330002576,1
0,0.069888617,0.235770088,0.280454639,0.141647648,0.200979342,0.219720882,2.413461969,0.369903883,0.146203599,1.138645105,1.639798903,1.55343047,1
0,0.287343467,0.279447362,0.383016258,0.057753976,0.291914121,0.424793888,0.094802212,0.219126648,0.023721514,0.105430492,0.015526166,0.018567663,1
0,1.386523506,0.331221209,0.420569755,0.191643763,0.623873963,0.411097339,2.945606714,2.430895624,0.629952466,0.418248047,0.328965413,0.200571933,1
0,0.271882341,0.174502884,1.032911342,0.33709788,0.346009195,1.06517784,0.463076348,0.034683011,0.080510798,0.147871605,0.135122397,0.869391502,1
0,0.156890251,0.016440651,0.095730942,0.055863806,0.113412996,0.025097508,0.116234604,0.024104282,0.054403674,0.013183979,0.14148985,0.123539875,1
0,0.014139127,0.497581589,0.764950304,0.530563519,0.557780653,0.11319974,0.289527892,0.866090309,0.786293603,0.376860884,0.740653406,0.393472136,1
0,0.64323409,0.275733233,0.466645553,0.062917905,0.82083373,0.162661441,0.952675074,0.181548561,0.152215539,0.068921745,0.12095312,0.14999448,1
0,0.374304464,0.41048617,0.290648151,0.551872886,0.134592923,0.360497268,2.632607546,0.37946107,0.316197122,0.359010497,0.170800189,0.630158423,1
0,0.294279121,0.482642326,0.27631263,0.365111605,0.276896495,0.574756224,1.233930466,1.416995833,0.439699105,0.618931737,0.32365679,0.42609451,1
0,0.165814422,0.066788417,1.304452788,0.110226685,0.967629583,1.032893649,0.240036711,1.074756729,0.117294447,0.172297694,0.103408202,0.136903052,1
0,0.058508574,0.245575067,0.40451223,0.091522721,0.175780703,0.382619392,0.215590108,0.512409115,0.226859469,0.259326072,1.121154637,0.200199406,1
0,0.168544411,0.677473781,0.60579367,0.465613679,0.250486679,0.09110283,0.226478752,0.205429176,0.198083095,0.695247615,0.039163571,0,1
0,0.036079352,0.437180539,0.275905123,0.66192952,0.354382361,0.260583813,0.054207296,2.60053003,2.665773822,0.008480669,0.001330554,0.004051663,2
0,0.03672322,0.140321229,0.610749441,0.064503846,0.025722959,0.228740039,0.048000636,0.742184812,0.19128529,0.055937858,0.566104476,0.038186789,2
0,0.066504633,0.144715094,0.364011257,0.196264364,0.105350628,0.17658068,0.277525648,0.548411274,0.21618094,0.442421254,0.179879345,0.231478091,2
0,0.027414057,0.366034503,0.038360215,0.564514476,0.126132961,0.046194887,0.157761378,0.662400799,0.245497369,1.156624257,1.001608628,0.99807762,2
0,0.098878274,0.109140934,0.127500712,0.12837892,0.753294771,0.067832698,0.219444616,0.192457003,0.258205986,0.142638946,0.045530788,0.176964615,2
0,0.22594477,0.212980421,0.232522438,0.100706092,0.480485804,0.26685782,0.113022711,0.282109107,0.434245123,0.034877401,0.161435235,0.375748365,2
0,0.066187519,0.338289459,0.384921215,0.063754461,0.189092076,0.345800194,0.055886773,0.040710725,0.38118729,0.312359118,0.819810795,0.017066676,2
0,0.474339154,0.02414722,0.679075118,0.018593359,0.495158214,0.118937211,0.536997146,1.20674819,0.184244711,0.04418358,0.14956251,0.106209069,2
0,0,0,1.011479814,0,0,0.007793775,0.15542236,0.707288913,0.144569309,0,0,0,2
0,0.013608214,0.100730147,0.085708407,0.022735529,0.032023583,0.681013343,0.079809552,0.230329083,0.075815967,0.118688533,0.108237343,0.206815431,2
