,da0_area_max,da0_area_min,da0_slope_max,da0_slope_min,da0_peak_max,da0_peak_min,da1_area_max,da1_area_min,da1_slope_max,da1_slope_min,da1_peak_max,da1_peak_min,da2_area_max,da2_area_min,da2_slope_max,da2_slope_min,da2_peak_max,da2_peak_min,da3_area_max,da3_area_min,da3_slope_max,da3_slope_min,da3_peak_max,da3_peak_min,da4_area_max,da4_area_min,da4_slope_max,da4_slope_min,da4_peak_max,da4_peak_min,da5_area_max,da5_area_min,da5_slope_max,da5_slope_min,da5_peak_max,da5_peak_min,da6_area_max,da6_area_min,da6_slope_max,da6_slope_min,da6_peak_max,da6_peak_min,da7_area_max,da7_area_min,da7_slope_max,da7_slope_min,da7_peak_max,da7_peak_min,da8_area_max,da8_area_min,da8_slope_max,da8_slope_min,da8_peak_max,da8_peak_min,da9_area_max,da9_area_min,da9_slope_max,da9_slope_min,da9_peak_max,da9_peak_min,da10_area_max,da10_area_min,da10_slope_max,da10_slope_min,da10_peak_max,da10_peak_min,da11_area_max,da11_area_min,da11_slope_max,da11_slope_min,da11_peak_max,da11_peak_min,target
0,0.571042883,-0.399624556,0.027101772,-0.004849688,0.146932722,-0.076538989,0.240010528,-0.523056156,0.058067107,-0.093641053,0.264247626,0,1.852187439,-0.498785706,0.06158493,-0.180933825,0.291275739,-0.318239092,0.135087743,-3.703719528,0.065845684,-0.044588246,0.429120099,-0.223641201,0.430241119,-0.273624991,0.029205078,-0.00073593,0.118188518,-0.102492278,0.775590297,-0.221413936,0.05827879,-0.137950933,0.244557037,-0.139216488,0.423530265,-0.542063445,0,-0.0084262,0.251404952,0,2.584128535,0,0.000183534,-0.017084382,0.33584196,0,2.244733095,0,0.007870357,-0.013361304,0.293136459,-0.003054507,3.294418445,-0.43679374,0.039326058,-0.001412849,0.054786622,-0.497435774,0.666997829,-2.429341285,0.032758959,-0.001887269,0.009004618,-0.467254924,1.944278967,-0.214330278,0,-0.009718972,0.29929357,0,0
1,2.222403105,-0.369915808,0.039695564,-0.080710224,0.285046487,-0.111159337,0.834622113,-0.625940892,0.090588114,-0.109384603,0.117953343,-0.280187054,1.207583169,-0.415433343,0.03771153,-0.098781127,0.268042933,-0.108830035,0.331839782,-1.213684069,0.020832828,-0.009004465,0.16511051,-0.068491077,2.635086936,-0.615741696,0.060273738,-0.080323248,0.461591676,-0.138163317,0.02464092,-1.328306105,0.047892681,-0.104905126,0.401197602,-0.078405031,0.349987692,-0.508498989,0.029230074,-0.088815461,0,-0.346052131,0.93259918,-0.526940915,0.146898325,-0.063487941,0.174007051,-0.124714019,1.185306531,-0.889787718,0.104826776,-0.105430019,0.378203883,-0.103332901,0.762305676,-0.257219951,0.075341065,-0.102576856,0.289972978,-0.034846232,0.67336209,-0.38430002,0.059183275,-0.071084266,0.16331909,-0.117523996,0.139310684,-0.587026707,0.056357979,-0.060314787,0.09760043,-0.113482503,0
2,0.733808771,-0.181056345,0.030798976,-0.011149505,0.070426926,-0.103277134,0.275385402,-0.132797883,0.023626217,-0.012801216,0.061687247,-0.050876001,0.146816352,-0.170806913,0.024360217,-0.014773779,0.063772597,-0.03136488,0.243450042,-0.553826324,0.025045559,-0.012702104,0.051192885,-0.105231378,0.299072632,-0.442747056,0.03086515,-0.019103544,0.074351555,-0.07208915,0.235498694,-0.139166624,0.021886183,-0.013510176,0.063894341,-0.04072035,1.871319518,-1.663279055,0.044842733,-0.026981795,0.233357849,-0.303851994,0.644429628,-0.222695921,0.015030203,-0.012965302,0.115044601,-0.030977303,0.108753693,-0.112473377,0.014614829,-0.007251412,0.032890239,-0.035881102,3.154065729,-2.821720793,0.037583595,-0.100320783,0.399777073,-0.406254579,0.658933502,-0.110680007,0.022094203,-0.005726213,0.060370216,-0.112087387,0.273944532,-0.740844756,0.029270651,-0.007336893,0.087878258,-0.123493803,0
3,0.944605626,-0.547453477,0.139001745,-0.113120752,0.366265599,-0.140222948,0.324279695,-0.562635201,0.103507915,-0.064627267,0.453291957,0,0.385082487,-1.954225974,0.079709468,-0.033283927,0.445720078,-0.016265587,0.3991705,-0.580608239,0.114452512,-0.079441859,0.401558864,0,0.656864109,-1.453163338,0.066908559,-0.054370317,0.405724087,0,0.406954385,-0.381952069,0.093630316,-0.051616324,0.446505455,0,0.3205804,-1.073507637,0.039831329,-0.039289622,0,-0.383280587,0.045628471,-2.16316688,0.247317758,-0.184925993,0.527127879,0,0.131883803,-0.309843363,0.201616844,-0.158770898,0.330275463,-0.055921179,0.236538783,-0.266651164,0.137436412,-0.125997107,0.330669502,-0.044621977,0.08953764,-0.254271732,0.123947818,-0.101835994,0.375409228,0,0.575548858,-0.276603471,0.022423844,-0.004670887,0.102778104,-0.068795634,0
4,0.450034709,-0.173495524,0.086579295,-0.055485025,0.332853602,0,0.39280826,-0.178460741,0.027651233,-0.014666908,0.053195747,-0.0986013,0.388708811,-0.081225124,0.025529978,-0.016893208,0.082311424,-0.056413426,0.180806469,-2.993939043,0.075214986,-0.046200045,0.194789176,-0.408017048,1.666043286,-0.237338174,0.030500583,-0.058250812,0.235855555,-0.098480633,0.500430993,-0.174311984,0.028366118,-0.016312507,0.08518882,-0.07838626,2.297207471,-2.165547855,0.045609626,-0.017459127,0.327107963,-0.408293905,3.678477039,-0.556779131,0.013388877,-0.045337153,0.601141518,-0.053596451,0.725996003,-0.458554868,0.011768426,-0.008806018,0.154585402,-0.025707775,1.882566414,-0.204358211,0.009218766,-0.024748499,0.215898421,-0.11963441,1.334778908,-0.066400546,0.007216119,-0.025358111,0.271224007,-0.018842491,0.26120944,-0.414418612,0.087752675,-0.080094977,0.326111068,-0.003494984,0
5,0.204194897,-0.100735027,0.080306718,-0.031604064,0.133314895,-0.076264389,0.398159755,-0.132474777,0.026616565,-0.008058074,0.056970339,-0.08946552,0.312140562,-0.189578957,0.03327383,-0.021602703,0.061937133,-0.091330325,0.329359082,-0.114181285,0.037291147,-0.011618018,0.072735115,-0.061988812,1.318692123,-0.357612693,0.094875008,-0.064624249,0.054179281,-0.277222271,0.398135779,-0.021447429,0.028472472,-0.011619751,0.05394278,-0.074234226,0.590364495,-0.446781666,0.054091703,-0.038675114,0.097408386,-0.088107584,2.619320524,-1.48850986,0.035444249,-0.072769965,0.421145654,-0.293129273,0.913689455,-0.026115231,0.05027159,-0.093935771,0,-0.351553961,0.085758699,-0.417121841,0.023169767,-0.006504834,0.076017266,-0.071256611,0.232940855,-0.193274979,0.025008936,-0.010860984,0.078192614,-0.043916122,0.385347022,-0.416668446,0.020557103,-0.01992148,0.067822742,-0.095671957,0
6,0.244117119,-0.605384046,0.00741969,-0.006231358,0.05670272,-0.059073004,0.449133672,-0.681768641,0.035856291,-0.015999864,0.169786536,-0.056895066,0.664504968,-0.460560653,0.032868998,-0.026828822,0.131476669,-0.071885825,0.707001717,-0.358531899,0.036233581,-0.010488405,0.120189979,-0.109702275,0.147535544,-0.252498381,0.03412929,-0.012082364,0.095545711,-0.069732122,0.647004175,-0.729885362,0.036648179,-0.074224979,0.283402709,-0.079197961,0.394035029,-0.225401822,0.007936226,-0.015976712,0.119386358,-0.03105873,0.526381187,-0.517102459,0.002820276,-0.051330402,0.137146255,-0.191908609,0.195464529,-0.390929058,0.026584767,-0.014079757,0.094142618,-0.00981012,0.166604881,-0.199194217,0.032342346,-0.018060952,0.098872185,-0.005254495,0.231602183,-0.026462001,0.028125703,-0.02309067,0.079742024,-0.015320951,0.494203612,-0.688348235,0.037002342,-0.023676003,0.166168503,-0.064450969,0
7,0.256931126,-0.154395425,0.022844041,-0.008594106,0.029110952,-0.066838011,0.607534735,-0.003130586,0.019609514,-0.024108642,0.084005918,-0.045548035,0.576762763,-0.03420531,0.020322454,-0.037448046,0.11388722,-0.090802525,0.03238866,-0.410270477,0.040825934,-0.038942167,0.078931503,-0.116647325,0.306350882,-0.891561324,0.056708669,-0.081254829,0.198080035,-0.204914362,0.569567775,-0.012014951,0.019365912,-0.028519433,0.081639857,-0.05121725,2.26161599,-0.170282847,0.011742146,-0.070967761,0.376735887,-0.024599179,0.66724835,-0.186814637,0.038500481,-0.005108801,0.19901965,-0.075649547,0.587451541,-0.042686816,0.027651916,-0.006444569,0.135308979,-0.061773852,0.580708682,-0.03862407,0.025099112,-0.008896019,0.138756749,-0.045903884,0.712378408,-0.114895901,0.043892267,-0.01008148,0.172861465,-0.060093697,0.555519561,-0.100457391,0.04609551,-0.011523833,0.150332503,-0.058544331,0
8,0.20635814,-0.205614562,0.014219485,-0.010303401,0.022207991,-0.073555999,0.05112942,-0.767495888,0.018014941,-0.037539821,0.150143322,-0.005901122,2.727149987,-0.240500774,0.024214249,-0.054222954,0.419023987,-0.075775122,0.120094468,-0.048263902,0.031411416,-0.026116307,0.058897107,-0.058822819,0.130772653,-0.153362687,0.00832112,-0.009290026,0.045415667,-0.027240583,3.195196933,0,0.020268367,-0.050840423,0.475858695,0,0.396842244,-0.793684488,0.019855524,-0.011427304,0.106689215,-0.099166083,1.848885448,-0.924442724,0.008889443,-0.032154551,0.30304857,-0.141794422,0.525293858,-0.738272589,0.014500264,-0.017811653,0.163198926,-0.039573102,0.691871665,-1.383743331,0.010352139,-0.01380953,0.196548252,-0.105149057,3.676033663,-1.023103721,0.042033153,-0.041992677,0.554083528,-0.105713748,0.549900269,-1.363256671,0.044043116,-0.049916643,0.195501091,-0.11607369,0
9,3.777526006,-2.418975347,0.016059732,-0.032349473,0.539299129,-0.272762953,1.671812162,-0.250638326,0.013371799,-0.012630914,0.221400073,-0.046139541,1.281164841,-0.176905935,0.039102398,-0.010390685,0.462159726,0,2.329839975,-0.418479032,0.015045157,-0.011306798,0.30692105,-0.082346008,1.895194377,-0.367548938,0.021971949,-0.009805849,0.317551279,-0.012352862,1.254294112,-0.516928272,0.068307444,-0.033704941,0.229071187,-0.266586184,0.662203948,-1.028643053,0.038840934,-0.049902917,0.210352162,-0.121079994,0.361807674,-0.039120977,0.015284351,-0.008349856,0.073293504,-0.013339999,0.443622322,-0.204346132,0.017507069,-0.013666648,0.06959454,-0.050890155,1.659745827,-0.348247044,0.012160577,-0.019761109,0.204376059,-0.091411756,0.553027943,-0.364197789,0.014041484,-0.013699813,0.083397076,-0.063192421,0.22008266,-3.81019097,0.068633051,-0.028891777,0.553895967,-0.025037701,0
