,Unnamed: 0,da0_area_max,da0_area_min,da0_slope_max,da0_slope_min,da0_peak_max,da0_peak_min,da1_area_max,da1_area_min,da1_slope_max,da1_slope_min,da1_peak_max,da1_peak_min,da2_area_max,da2_area_min,da2_slope_max,da2_slope_min,da2_peak_max,da2_peak_min,da3_area_max,da3_area_min,da3_slope_max,da3_slope_min,da3_peak_max,da3_peak_min,da4_area_max,da4_area_min,da4_slope_max,da4_slope_min,da4_peak_max,da4_peak_min,da5_area_max,da5_area_min,da5_slope_max,da5_slope_min,da5_peak_max,da5_peak_min,da6_area_max,da6_area_min,da6_slope_max,da6_slope_min,da6_peak_max,da6_peak_min,da7_area_max,da7_area_min,da7_slope_max,da7_slope_min,da7_peak_max,da7_peak_min,da8_area_max,da8_area_min,da8_slope_max,da8_slope_min,da8_peak_max,da8_peak_min,da9_area_max,da9_area_min,da9_slope_max,da9_slope_min,da9_peak_max,da9_peak_min,da10_area_max,da10_area_min,da10_slope_max,da10_slope_min,da10_peak_max,da10_peak_min,da11_area_max,da11_area_min,da11_slope_max,da11_slope_min,da11_peak_max,da11_peak_min,target
2166,2166,0.449094789,-0.205326942,0.032986812,-0.049219083,0.0,-0.371592316,0.416455632,-0.451589676,0.100351685,-0.031429238,0.416586206,0.0,0.584157076,-0.177390349,0.0342826,-0.061716434,0.173624848,-0.07512728,0.269272549,-0.298302023,0.056418879,-0.033985808,0.033023652,-0.117666367,0.05716131,-1.919544914,0.013694503,-0.021711242,0.024623326,-0.25309062,0.186888384,-2.039010151,0.062890795,-0.058996128,0.267746297,-0.073853356,0.659819426,-0.384852383,0.031726973,-0.054410954,0.052306016,-0.199760879,2.32861247,-0.290075578,0.023984997,-0.08836983,0.010171337,-0.406754815,0.144671581,-0.236858194,0.037778411,-0.055373751,0.0,-0.408938732,0.16471879,-0.242018929,0.0466066,-0.050178234,0.0,-0.313343914,0.160955687,-0.261747482,0.061281952,-0.045272677,0.0,-0.209034572,0.221858274,-0.230123422,0.065939278,-0.038355761,0.083605631,-0.06710443,0
2503,2503,3.191987577,-1.251803976,0.015281722,-0.057458532,0.219675538,-0.484111858,2.135012187,-0.83127803,0.027562261,-0.032309307,0.178870423,-0.223114058,1.489534476,-1.234839828,0.042953628,-0.091792651,0.189583356,-0.393336485,2.754107316,-0.079879804,0.02850972,-0.056518065,0.194653847,-0.18557215,0.431636786,-0.267263476,0.011104774,-0.025530978,0.093487207,-0.050434165,1.596989625,-1.005969166,0.02088933,-0.021578728,0.160214431,-0.209441915,0.93423649,-1.480264684,0.017249009,-0.066829753,0.417592831,-0.124935341,1.28085503,-0.30806182,0.001425349,-0.051614885,0.314112883,-0.074616935,1.210044028,-0.942174617,0.007479641,-0.07433748,0.201041941,-0.383629256,1.504864131,-0.838342739,0.005959968,-0.072477222,0.254419845,-0.35353724,1.382499448,-0.86306279,0.006318274,-0.074575007,0.23207243,-0.364407502,1.103679945,-2.283642908,0.042734694,-0.051475346,0.340457397,-0.215960147,0
485,485,0.915587689,-0.143254731,0.023543464,-0.037548546,0.099301826,-0.119491116,1.163914302,-0.183132617,0.009954779,-0.060545749,0.248036491,-0.036500026,0.28045962,-0.25384945,0.004791257,-0.006576692,0.041240034,-0.039463849,2.516821366,-0.874616606,0.051995472,-0.036447265,0.128485311,-0.387823043,0.462886689,-0.1686723,0.012366938,-0.016066628,0.008794795,-0.094909438,0.0,-0.048224745,0.003283166,0.0,0.000955061,-0.015008686,0.270009263,-0.26349226,0.066884087,-0.022262214,0.161104809,-0.121557143,0.364049471,-2.822060737,0.044342128,-0.001712136,0.0478102,-0.46952367,3.242238585,-0.170820672,0.01221368,-0.044143063,0.48803435,-0.032533147,0.490975142,-0.220646758,0.01050164,-0.01247666,0.067123397,-0.049965982,0.470387572,-0.306161615,0.061391511,-0.017975747,0.063407749,-0.09375631,0.50338244,-0.394484157,0.060238989,-0.02077951,0.033966512,-0.170952857,0
613,613,0.358903902,-0.094217013,0.107198532,-0.077607166,0.202604285,-0.140487586,0.255084477,-1.88477245,0.107925646,-0.080695642,0.219662434,-0.326158227,0.429400672,-2.637912291,0.052907431,-0.049613094,0.064329432,-0.414612094,0.053592702,-2.998099401,0.11509821,-0.086392254,0.172942529,-0.448119812,0.97353766,-0.169501825,0.068510515,-0.043208538,0.233414234,-0.104571183,0.526161913,-1.355687343,0.046557651,-0.056682469,0.137421325,-0.357732824,0.921917236,-2.430738445,0.047726712,-0.04920036,0.102590169,-0.470370406,2.246860629,-0.36740814,0.047807925,-0.044832492,0.283198804,-0.113009891,2.215429262,-0.354301976,0.072036852,-0.07408516,0.277853411,-0.155430106,2.19661102,-0.339892593,0.04247696,-0.048042857,0.292711213,-0.112297725,1.959247724,-0.915531284,0.040341729,-0.045398806,0.279866922,-0.14389176,2.243061673,-0.298499669,0.053577327,-0.056913753,0.278772911,-0.121891582,0
885,885,0.061018877,-0.044144341,0.005709033,-0.0023204,0.006920209,-0.024943145,0.311079545,-0.247333959,0.03034437,-0.028879862,0.046605707,-0.067287082,0.586574554,-1.074668959,0.092580353,-0.092386141,0.150126102,-0.261328518,0.956379766,-0.536402569,0.017216635,-0.014847674,0.135654765,-0.080712712,0.201751725,-0.38007276,0.01060295,-0.014943278,0.052272039,-0.036186669,0.393945078,-0.225628302,0.04679768,-0.041230515,0.061417778,-0.102625374,0.805011382,-0.379844908,0.012689358,-0.025326198,0.068399096,-0.110500527,1.580577813,-0.88814537,0.02435728,-0.039635561,0.296698189,-0.073442376,1.102922879,-0.267102031,0.013701164,-0.011008198,0.185166486,-0.020752969,0.658717712,-0.846470863,0.045587279,-0.046402043,0.159291698,-0.105532701,0.714722203,-0.548051593,0.071053899,-0.07842683,0.071352426,-0.267047088,0.461568953,-0.398987071,0.054024487,-0.057935486,0.079690991,-0.105442594,0
1264,1264,1.260839169,-0.439084247,0.075370914,-0.033377349,0.041316669,-0.257453708,1.866595742,-0.133539318,0.069285028,-0.085324142,0.480898797,-0.011748644,1.01780415,-0.58545192,0.059840917,-0.08502987,0.094947679,-0.280079215,2.149037251,-0.6101752,0.093222655,-0.052460909,0.3697922,-0.286708123,0.089393162,-0.119607804,0.035742104,-0.064710924,0.010408284,-0.115809022,1.245661759,-0.13611357,0.067475055,-0.09068151,0.244234165,-0.090476868,0.467894638,-0.892552678,0.118011016,-0.044229364,0.381662531,-0.040715509,0.237118609,-0.371383376,0.013744187,-0.027827101,0.048412957,-0.063352922,0.632861427,-0.352762326,0.015309466,-0.019502562,0.098480728,-0.070807687,1.08996542,-0.327640276,0.029122083,-0.023228722,0.036652824,-0.195772906,0.35943403,-0.005593426,0.063305312,-0.08814909,0.300277064,0.0,0.565952881,-0.052035168,0.071954516,-0.07933978,0.258011192,0.0,0
1799,1799,0.070587294,-0.447695374,0.038742649,-0.046969776,0.06475076,-0.083212307,1.134546069,-0.439925269,0.042465502,-0.066919095,0.142577322,-0.122386665,0.220420394,-1.126617951,0.033893731,-0.052557713,0.073411845,-0.173435853,0.232942131,-0.173799789,0.052672705,-0.0673371,0.086088236,-0.109461798,0.048064795,-1.890268318,0.031112528,-0.044815566,0.051437903,-0.306437501,1.178380085,-0.884435058,0.032709648,-0.067229048,0.172514215,-0.147709611,0.839494587,-1.636259589,0.03601404,-0.066649447,0.121158907,-0.26057602,2.784342827,-1.869424169,0.03614861,-0.071817688,0.454715516,-0.347022795,0.214391616,-0.417514603,0.067535257,-0.077559134,0.083416913,-0.206607226,0.84620202,-0.346199732,0.03924657,-0.049211474,0.170689679,-0.112682301,1.535178861,-0.459091401,0.066285663,-0.116465876,0.314867079,-0.129312751,1.625951957,-0.269039515,0.060017847,-0.090637595,0.233267054,-0.131579792,0
1883,1883,0.310370553,-0.195264275,0.037755064,-0.021073671,0.078981144,-0.06431721,0.279577483,-0.145409456,0.017493363,-0.009468984,0.067127501,-0.042772818,3.257080986,-0.177810286,0.015586032,-0.037906682,0.459500349,-0.062752179,0.33878879,-3.595899892,0.027038653,-0.066430325,0.097331629,-0.48550145,0.094314753,-0.891269722,0.062567106,-0.046551315,0.104386986,-0.104650822,0.341116554,-0.210796842,0.014566434,-0.011668627,0.052500816,-0.048287347,0.782907759,-0.249002977,0.015464445,-0.006026911,0.090951598,-0.065286721,0.066405598,-0.102579342,0.002643965,-0.00176235,0.015471511,-0.013763217,0.0,-2.021799317,0.02289489,0.0,0.0,-0.316638777,0.340892314,-0.105045583,0.029598018,-0.009724465,0.136610708,-0.046509996,0.25102657,-0.475891055,0.029390882,-0.004555143,0.062157264,-0.143014297,1.503879939,-0.253825898,0.044297735,-0.012753708,0.27723966,-0.086659715,0
322,322,0.2197603,-0.016421349,0.015641766,-0.005980578,0.020540067,-0.037998687,0.303085741,-0.019252364,0.0,-0.088891058,0.123299857,-0.423914804,1.007449261,-0.14951172,0.062546043,-0.068013736,0.0,-0.397115611,1.601219513,-0.13828327,0.019852217,-0.055620289,0.082497909,-0.269184439,1.242793145,-0.061504827,0.024228335,-0.013683991,0.143411323,-0.056671887,0.4624896,-0.267285862,0.0,-0.079614529,0.083541097,-0.431350086,0.560390297,-0.214085428,0.042218071,-0.067173505,0.0,-0.479192791,1.044402389,-0.784722605,0.023111945,-0.067685389,0.0,-0.513712567,2.864167042,-0.363943789,0.02579802,-0.061045496,0.048287786,-0.474048822,1.283054344,-1.835325401,0.024320465,-0.070672826,0.158108422,-0.369848869,0.479649519,-0.196440233,0.057553977,-0.117750532,0.062374272,-0.310161605,0.080593543,-0.386479892,0.081735553,-0.089829073,0.127278327,-0.154342993,0
905,905,1.085455059,-1.726229231,0.020994572,-0.015821486,0.278633476,-0.131417996,1.930231271,-0.067848909,0.032367745,-0.057829982,0.463150937,0.0,1.301117876,-1.947007966,0.008210615,-0.033164379,0.377264065,-0.113404759,0.609960622,-0.57655227,0.018499895,-0.01858885,0.100774788,-0.102009409,0.628030268,-1.869145473,0.026519395,-0.028063645,0.327939723,-0.044472062,1.253926801,-1.844098879,0.017130366,-0.03300342,0.469650916,0.0,1.074194275,-2.373121815,0.014862472,-0.026538976,0.463566486,-0.027179193,2.462956287,-0.893154045,0.040742364,-0.052395185,0.438709043,-0.047530473,1.461791065,-0.889148496,0.044135888,-0.021247041,0.409310723,0.0,0.0,-3.014460202,0.038965847,0.0,0.0,-0.488101567,1.933976689,-1.444158467,0.036773651,-0.024002792,0.516902999,0.0,1.73004155,-1.937605886,0.041626343,-0.029663021,0.571738053,0.0,0
